name,category,quantity,price,expiration_date
Apple,Fruit,10,2.0,2024-10-29
Banana,Fruit,15,1.5,2024-11-05
Orange,Fruit,20,3.0,2024-11-12
Grapes,Fruit,25,4.0,2024-11-20
Strawberry,Fruit,18,5.0,2024-10-30
Lettuce,Vegetable,30,1.2,2024-10-31
Tomato,Vegetable,22,2.5,2024-11-03
Carrot,Vegetable,28,1.8,2024-11-07
Potato,Vegetable,50,0.5,2024-12-01
Onion,Vegetable,40,0.7,2024-11-15
Chicken Breast,Meat,12,10.0,2024-12-10
Ground Beef,Meat,8,8.0,2024-12-05
Pork Chops,Meat,6,9.0,2024-11-25
Salmon,Fish,5,15.0,2024-11-20
Tuna,Fish,7,12.0,2024-11-15
Milk,Dairy,25,1.0,2024-10-28
Cheese,Dairy,10,3.5,2024-11-02
Yogurt,Dairy,20,0.9,2024-11-01
Eggs,Dairy/Protein,30,2.5,2024-11-10
Bread,Bakery,40,1.8,2024-10-31